AppID, Name, Release Date, Genre, Metacritic Score,User Rating,Full Price, Lowest Price
,,,,,,,
260430, The Four Kings Casino and Slots, 1 Jun 2015, Casual-Free to Play-Massively Multiplayer-Simulation, None,33, 0.00,0
260990, Odesi Music Composition, 15 Mar 2016, Audio Production-Utilities, None,56, 35.00,35
261430, AION Free-to-Play, 16 Dec 2015, Free to Play-Massively Multiplayer-RPG, None, None, 0.00,0
261490, Bedlam, 13 Oct 2015, Action-Indie,54,43, 9.99,2.49
261570, Ori and the Blind Forest, 10 Mar 2015, Action,88,96, 0.00,0
262060, Darkest Dungeon, 19 Jan 2016, Indie-RPG-Strategy,84,63, 18.99,7.49
262100, Trench Run, 7 Apr 2016, Action-Casual-Indie, None,29, 5.59,3.63
262120, Toy Soldiers: Complete, 17 Feb 2016, Action-Casual-Indie-Simulation-Strategy, None,41, 10.99,3.49
262190, Zombeer, 30 Jan 2015, Action,32,51, 6.99,4.19
262280, Dungeons 2, 24 Apr 2015, RPG-Simulation-Strategy,70,37, 24.99,6.24
262510, CRIMSON ROOM DECADE, 9 Jun 2016, Adventure-Indie, None,66, 6.99,5.94
262960, Castle In The Darkness, 5 Feb 2015, Action-Adventure-Indie-RPG,76,53, 4.79,1.43
263060, Blockstorm, 21 May 2015, Action-Indie, None,58, 3.95,0.79
263640, CDF Ghostship, 26 Jun 2015, Action-Adventure-Indie, None,6, 8.99,4.41
263920, Zombie Grinder, 16 Oct 2015, Action-Adventure-Indie-RPG, None,51, 5.99,2.99
263940, Red Baron Pack, 7 Jan 2016, Simulation, None,41, 6.99,5.24
263980, Out There Somewhere, 14 Mar 2016, Action-Adventure-Indie-Simulation-Strategy, None,88, 0.79,0.15
264000, Son of Nor, 27 Apr 2015, Action-Adventure-Indie,54,24, 14.99,3.74
264120, Victory: The Age of Racing, 12 Feb 2016, Free to Play-Indie-Racing-Simulation-Sports, None,7, 0.00,0
264380, Narcissu 1st & 2nd, 24 Apr 2015, Indie, None,88, 0.00,0
265000, FORCED SHOWDOWN, 29 Mar 2016, Action-Indie-RPG-Strategy, None,75, 14.99,8.99
265590, The Red Solstice, 9 Jul 2015, Action-Indie-RPG-Strategy,74,58, 14.99,5.09
265750, Secret Ponchos, 13 Oct 2015, Action-Indie, None,39, 10.99,5.49
265810, The Sandbox, 29 Jun 2015, Casual-Indie-Simulation-Strategy, None,22, 3.99,0.99
265970, Worlds of Magic, 19 Mar 2015, RPG-Strategy,52,10, 18.99,11.99
266190, Astral Terra, 10 Nov 2015, Action-Adventure-Indie-RPG, None,30, 10.99,7.14
266310, GameGuru, 19 May 2015, Animation & Modeling-Design & Illustration-Education-Software Training-Utilities, None,49, 22.98,5.24
266410, iRacing, 12 Jan 2015, Massively Multiplayer-Racing-Simulation-Sports,79,69, 0.00,0
266510, Hand of Fate, 17 Feb 2015, Action-Indie-RPG,78,81, 17.00,3.7
267750, Shadowrun Chronicles - Boston Lockdown, 28 Apr 2015, Indie-RPG-Strategy, None,27, 17.99,4.49
268320, Grapple, 9 Mar 2015, Indie, None,84, 5.59,1.39
268340, High Strangeness, 6 May 2015, Action-Adventure-Indie-RPG, None,37, 3.99,1.99
268360, Krautscape, 24 Feb 2016, Indie-Racing, None,41, 5.59,1.39
268500, XCOM 2, 4 Feb 2016, Strategy,88,43, 34.99,19.24
268870, Satellite Reign, 27 Aug 2015, Action-Indie-Strategy,75,51, 22.99,7.58
268970, You Are Not The Hero, 2 Jun 2015, Adventure-Indie-RPG, None,30, 10.99,10.99
269170, Pool Nation VR, 1 Jun 2016, Casual-Indie-Simulation-Sports-Strategy, None,98, 14.99,11.24
269630, A Mass of Dead, 15 Jul 2015, Action-Indie, None,16, 3.99,1.74
269650, Dex, 7 May 2015, Action-Adventure-Indie-RPG,62,61, 14.99,3.74
269670, BADLAND: Game of the Year Edition, 26 May 2015, Action-Adventure-Indie,79,69, 6.99,1.39
269690, RymdResa, 20 Aug 2015, Adventure-Indie-RPG, None,56, 8.97,2.69
269770, Secrets of Grindea, 13 Jul 2015, Action-Adventure-Indie-RPG, None,96, 10.99,10.99
269990, Infinite Space III: Sea of Stars, 29 Oct 2015, Adventure-Indie, None,26, 6.99,3.49
270110, Block Story, 10 Dec 2015, Action-Adventure-Indie-RPG, None,16, 1.99,1.33
270130, The Gallery - Episode 1: Call of the Starseed, 5 Apr 2016, Adventure-Indie, None,63, 14.99,14.99
270150, RUNNING WITH RIFLES, 2 Apr 2015, Action-Indie,78,78, 10.99,5.49
270210, Melody's Escape, 20 May 2016, Indie, None,88, 6.99,3.49
270230, Prominence, 6 Nov 2015, Adventure-Casual-Indie, None,69, 14.99,8.99
270410, I Want To Be Human, 15 Apr 2016, Action-Indie,53,33, 10.99,5.49
270450, Robot Roller-Derby Disco Dodgeball, 19 Feb 2015, Action-Indie-Sports, None,88, 6.99,1.74
270810, Jones On Fire, 27 Mar 2015, Action-Casual-Indie-Racing, None,69, 1.99,0.65
270880, American Truck Simulator, 2 Feb 2016, Indie-Simulation,76,84, 14.99,11.99
270910, Worms World Party Remastered, 16 Jul 2015, Action-Indie-Strategy, None,12, 10.99,3.73
271240, Offworld Trading Company, 28 Apr 2016, Indie-Simulation-Strategy,79,47, 29.99,14.99
271360, Industry Giant 2, 14 Aug 2015, Simulation-Strategy, None,47, 6.99,1.39
271590, Grand Theft Auto V, 13 Apr 2015, Action-Adventure,96,56, 39.99,23.99
271760, Dungeon Lords Steam Edition, 21 Dec 2015, RPG, None,37, 13.99,3.49
271920, Worlds Adrift Island Creator, 28 Apr 2016, Simulation, None,72, 0.00,0
271970, Hero and Daughter+, 18 Feb 2016, Indie-RPG, None, None, 6.99,4.19
271990, Dreamscape, 2 Feb 2015, Adventure-Casual-Indie-RPG-Strategy, None,81, 6.99,1.39
272270, Torment: Tides of Numenera, 26 Jan 2016, Adventure-Indie-RPG-Strategy, None,51, 30.98,30.98
272330, Shadow Blade: Reload, 10 Aug 2015, Action-Indie,70,78, 10.97,2.74
272890, Vertiginous Golf, 6 May 2015, Indie-Sports,63,16, 6.99,3.14
273350, Evolve Stage 2, 10 Feb 2015, Action-Free to Play,77,24, 0.00,0
273500, Over 9000 Zombies!, 25 Feb 2015, Action-Indie, None,61, 6.99,0.69
273750, Formula Truck 2013, 2 Feb 2015, Racing-Simulation-Sports, None,53, 10.99,5.49
273790, Agricultural Simulator 2012: Deluxe Edition, 17 Apr 2015, Simulation, None,8, 5.59,0.55
273800, Forestry 2017 - The Simulation, 25 Mar 2016, Simulation, None,9, 14.99,7.49
273840, Stock Car Extreme, 11 Feb 2015, Racing-Simulation-Sports, None,78, 14.99,7.49
273960, Mechs & Mercs: Black Talons, 9 Jan 2015, Action-Indie-Simulation-Strategy, None,7, 6.99,1.74
274170, Hotline Miami 2: Wrong Number, 10 Mar 2015, Action-Indie, None,75, 11.99,2.99
274190, Broforce, 15 Oct 2015, Action-Adventure-Casual-Indie,83,98, 11.99,4.79
